id,Credit_rating,Age,Income,Credit_cards,Education,Car_loans
107,Bad,25.34813221,Medium,5 or more,College,More than 2
108,Bad,28.12160942,Low,5 or more,College,More than 2
109,Bad,29.50545391,Low,5 or more,High school,More than 2
110,Bad,35.89603962,Low,5 or more,College,More than 2
111,Bad,20.14008122,Medium,5 or more,High school,More than 2
112,Bad,23.22676407,Low,5 or more,College,More than 2
113,Bad,44.82106946,Low,5 or more,High school,More than 2
114,Bad,43.57331385,Medium,5 or more,College,More than 2
115,Bad,20.15777262,Medium,Less than 5,College,None or 1
116,Bad,27.44002472,Low,5 or more,College,More than 2
117,Bad,24.03417533,Low,5 or more,High school,More than 2
118,Bad,37.07877082,Medium,5 or more,High school,More than 2
119,Bad,25.7861536,High,5 or more,College,None or 1
120,Bad,24.7985767,Low,5 or more,College,More than 2
121,Bad,31.74538354,Low,5 or more,High school,More than 2
122,Bad,38.719923,Medium,5 or more,College,None or 1
123,Bad,24.12005788,Medium,5 or more,College,More than 2
124,Bad,31.79602344,Low,5 or more,High school,More than 2
125,Bad,43.03200602,Low,5 or more,College,More than 2
126,Bad,22.09949587,Medium,5 or more,College,More than 2
127,Bad,26.7976632,High,5 or more,College,More than 2
128,Bad,39.97980906,High,5 or more,College,More than 2
129,Bad,31.47530311,Medium,Less than 5,High school,None or 1
130,Bad,23.64060229,Low,5 or more,High school,More than 2
131,Bad,33.18144026,Low,5 or more,High school,More than 2
132,Bad,40.00019028,Low,5 or more,High school,More than 2
133,Bad,23.44607673,High,5 or more,High school,More than 2
134,Bad,29.84445838,Low,Less than 5,High school,None or 1
135,Bad,29.32356857,Low,Less than 5,High school,None or 1
136,Bad,22.50946897,Low,5 or more,High school,More than 2
137,Bad,31.4276444,Low,Less than 5,High school,None or 1
138,Bad,32.96204938,Low,5 or more,High school,None or 1
139,Bad,37.2314938,Medium,5 or more,College,More than 2
140,Bad,39.48911564,Low,5 or more,College,More than 2
141,Bad,21.98529177,Low,5 or more,High school,More than 2
142,Bad,31.01034972,Low,5 or more,High school,More than 2
143,Bad,40.39863934,Low,5 or more,High school,More than 2
144,Bad,28.52887586,Low,5 or more,High school,More than 2
145,Bad,21.92540704,Medium,5 or more,College,More than 2
146,Bad,25.52239754,Low,5 or more,High school,More than 2
147,Bad,20.72219001,Low,5 or more,College,More than 2
148,Bad,43.56943896,Low,5 or more,High school,None or 1
149,Bad,33.0903024,Low,5 or more,High school,More than 2
150,Bad,27.85292373,Medium,5 or more,High school,More than 2
151,Bad,28.74028759,Low,5 or more,College,More than 2
152,Bad,44.61458144,Low,5 or more,College,None or 1
153,Bad,22.31643909,High,5 or more,College,More than 2
154,Bad,32.72566676,Medium,5 or more,College,More than 2
155,Bad,32.19680981,Low,5 or more,College,More than 2
156,Bad,22.21803618,Medium,Less than 5,College,None or 1
157,Bad,30.25985065,Medium,5 or more,High school,More than 2
158,Bad,54.67529333,Medium,5 or more,High school,More than 2
159,Bad,29.51360081,Medium,Less than 5,High school,None or 1
160,Bad,20.14202077,Low,5 or more,College,More than 2
161,Bad,29.24831062,Low,5 or more,College,More than 2
162,Bad,38.14189963,Low,5 or more,High school,More than 2
163,Bad,28.76395677,Low,5 or more,College,More than 2
164,Bad,36.45028664,Low,5 or more,High school,None or 1
165,Bad,20.636091,Medium,5 or more,High school,None or 1
166,Bad,24.54417228,Medium,5 or more,High school,More than 2
167,Bad,31.3859794,Low,5 or more,College,More than 2
168,Bad,39.79780436,Low,5 or more,College,More than 2
169,Bad,28.56359203,Medium,5 or more,College,More than 2
170,Bad,22.6118286,Low,5 or more,College,More than 2
171,Bad,33.17446078,Low,5 or more,College,More than 2
172,Bad,43.37124615,Low,5 or more,College,None or 1
173,Bad,34.35961691,Medium,5 or more,High school,None or 1
174,Bad,40.67442514,Medium,Less than 5,College,None or 1
175,Bad,33.74187339,High,5 or more,High school,None or 1
176,Bad,25.2338965,Medium,5 or more,High school,More than 2
177,Bad,26.09004691,Low,5 or more,College,More than 2
178,Bad,31.62818526,Low,5 or more,College,More than 2
179,Bad,41.67018873,Medium,5 or more,College,More than 2
180,Bad,23.07513724,Medium,5 or more,High school,None or 1
181,Bad,24.86028285,Low,5 or more,College,More than 2
182,Bad,23.62845142,Medium,5 or more,High school,More than 2
183,Bad,25.9634582,Medium,5 or more,High school,More than 2
184,Bad,44.00477956,Medium,Less than 5,College,None or 1
185,Bad,21.95698015,Low,5 or more,High school,More than 2
186,Bad,37.58288144,Medium,5 or more,College,More than 2
187,Bad,53.86335925,Low,5 or more,College,More than 2
188,Bad,29.79710792,Medium,5 or more,High school,More than 2
189,Bad,26.7235055,Medium,5 or more,College,More than 2
190,Bad,24.20247602,Medium,5 or more,High school,More than 2
191,Bad,34.35956176,Low,Less than 5,High school,None or 1
192,Bad,24.86455961,Medium,5 or more,High school,More than 2
193,Bad,33.74344024,Medium,5 or more,College,More than 2
194,Bad,36.22172744,Medium,Less than 5,High school,None or 1
195,Bad,24.2224082,Low,5 or more,College,More than 2
196,Bad,43.81414016,Low,5 or more,College,More than 2
197,Bad,22.57652262,High,5 or more,College,More than 2
198,Bad,47.89345858,High,5 or more,College,More than 2
199,Bad,37.56302598,Low,5 or more,High school,None or 1
200,Bad,24.41433956,Medium,5 or more,College,More than 2
201,Bad,28.23431531,Medium,5 or more,High school,More than 2
202,Bad,20.5885592,Medium,5 or more,High school,None or 1
203,Bad,27.88346126,Medium,5 or more,High school,More than 2
204,Bad,23.60358526,Low,5 or more,High school,More than 2
205,Bad,20.84095369,Medium,Less than 5,College,More than 2
206,Bad,34.51064534,Low,5 or more,College,More than 2
207,Bad,32.74735225,Low,5 or more,College,More than 2
208,Bad,30.15091812,Low,5 or more,College,More than 2
209,Bad,22.42795217,Medium,5 or more,High school,More than 2
210,Bad,23.45416857,Low,5 or more,High school,More than 2
211,Bad,31.80199453,Medium,5 or more,High school,None or 1
212,Bad,22.96433156,Low,5 or more,College,More than 2
213,Bad,37.3181942,Low,5 or more,College,More than 2
214,Bad,29.3530572,Medium,5 or more,College,More than 2
215,Bad,51.90912143,Medium,5 or more,High school,None or 1
216,Bad,26.82452455,Medium,5 or more,College,More than 2
217,Bad,40.7576406,Low,5 or more,College,More than 2
218,Bad,40.51497323,Medium,5 or more,High school,More than 2
219,Bad,25.14977029,Medium,5 or more,High school,More than 2
220,Bad,30.29056829,Medium,5 or more,High school,More than 2
221,Bad,20.57246134,Low,5 or more,College,More than 2
222,Bad,29.59912041,Medium,5 or more,College,None or 1
223,Bad,21.39212367,Low,5 or more,High school,More than 2
224,Bad,26.52351111,Medium,Less than 5,High school,None or 1
225,Bad,23.63800953,Low,5 or more,High school,More than 2
226,Bad,24.87425838,Medium,5 or more,College,More than 2
227,Bad,26.41930292,Low,5 or more,High school,More than 2
228,Bad,31.89471672,Medium,5 or more,College,More than 2
229,Bad,32.9169179,Low,5 or more,College,More than 2
230,Bad,37.42485369,Medium,5 or more,High school,More than 2
231,Bad,28.13553254,Low,5 or more,High school,More than 2
232,Bad,24.71452228,Medium,5 or more,High school,More than 2
233,Bad,35.11712752,Medium,5 or more,High school,More than 2
234,Bad,32.56318735,Medium,5 or more,College,More than 2
235,Bad,35.03257298,Medium,5 or more,High school,More than 2
236,Bad,43.2737021,Medium,5 or more,College,More than 2
237,Bad,23.53426725,Low,5 or more,College,More than 2
238,Bad,25.01097136,Medium,5 or more,High school,More than 2
239,Bad,26.60692251,Low,5 or more,College,More than 2
240,Bad,41.41073344,Medium,5 or more,High school,More than 2
241,Bad,20.34804309,Low,Less than 5,College,None or 1
242,Bad,35.24091927,Low,5 or more,High school,More than 2
243,Bad,44.29923592,Low,5 or more,College,More than 2
244,Bad,38.61248616,Medium,5 or more,High school,More than 2
245,Bad,33.5311094,Medium,5 or more,High school,More than 2
246,Bad,22.5303269,Medium,5 or more,High school,More than 2
247,Bad,46.5129397,Low,5 or more,College,More than 2
248,Bad,28.04914721,High,5 or more,College,More than 2
249,Bad,40.29265041,Medium,5 or more,High school,More than 2
250,Bad,20.72590576,Medium,Less than 5,College,None or 1
251,Bad,26.52973668,Low,5 or more,College,More than 2
252,Bad,38.76273104,Medium,Less than 5,High school,None or 1
253,Bad,35.56411402,High,5 or more,College,More than 2
254,Bad,28.24787905,Medium,5 or more,College,More than 2
255,Bad,37.12080741,Medium,Less than 5,High school,None or 1
256,Bad,22.7833584,Medium,Less than 5,College,None or 1
257,Bad,37.07132556,Medium,Less than 5,College,None or 1
258,Bad,35.00258764,High,5 or more,High school,More than 2
259,Bad,39.01553366,Medium,5 or more,College,More than 2
260,Bad,29.2097752,Medium,5 or more,College,More than 2
261,Bad,21.60598507,Medium,5 or more,College,More than 2
262,Bad,25.40618304,Low,5 or more,College,More than 2
263,Bad,36.40914952,Medium,5 or more,High school,More than 2
264,Bad,34.30647454,Low,5 or more,College,More than 2
265,Bad,20.18279174,Medium,5 or more,High school,More than 2
266,Bad,24.96554151,Low,Less than 5,High school,None or 1
267,Bad,22.99077528,Medium,Less than 5,High school,None or 1
268,Bad,22.93122946,Low,5 or more,High school,More than 2
269,Bad,31.76672851,Low,5 or more,High school,More than 2
270,Bad,40.78290402,Medium,5 or more,High school,More than 2
271,Bad,25.71224232,Medium,5 or more,College,More than 2
272,Bad,20.23265105,Low,5 or more,College,More than 2
273,Bad,20.82113353,Low,5 or more,High school,More than 2
274,Bad,22.24074437,Medium,5 or more,High school,More than 2
275,Bad,23.31709988,Medium,5 or more,College,More than 2
276,Bad,26.16700429,Medium,5 or more,College,More than 2
277,Bad,26.22284901,Medium,Less than 5,College,None or 1
278,Bad,28.90549182,Medium,5 or more,High school,More than 2
279,Bad,30.3187915,Medium,5 or more,College,More than 2
280,Bad,22.08393007,Medium,5 or more,High school,More than 2
281,Bad,22.06804419,Medium,5 or more,College,More than 2
282,Bad,26.66645673,High,5 or more,High school,More than 2
283,Bad,28.72595338,Low,5 or more,High school,More than 2
284,Bad,31.08813722,High,5 or more,College,More than 2
285,Bad,23.38457216,Low,5 or more,College,None or 1
286,Bad,25.84124945,Low,5 or more,College,None or 1
287,Bad,29.39736642,Medium,5 or more,College,More than 2
288,Bad,37.35688176,Medium,Less than 5,High school,None or 1
289,Bad,27.57438852,Medium,5 or more,High school,More than 2
290,Bad,39.15187525,Low,5 or more,College,More than 2
291,Bad,22.79471846,High,5 or more,High school,More than 2
292,Bad,33.40706559,Low,5 or more,College,More than 2
293,Bad,28.02730026,Low,5 or more,College,None or 1
294,Bad,24.96806683,Medium,5 or more,High school,More than 2
295,Bad,20.04494954,Medium,5 or more,High school,More than 2
296,Bad,41.31987855,Low,5 or more,High school,More than 2
297,Bad,31.90348048,Low,Less than 5,College,More than 2
298,Bad,35.84965398,Medium,5 or more,High school,More than 2
299,Bad,20.61046327,Medium,5 or more,High school,More than 2
300,Bad,22.48602604,Low,5 or more,High school,More than 2
301,Bad,33.07973879,Low,5 or more,High school,More than 2
302,Bad,33.50912294,Low,5 or more,High school,More than 2
303,Bad,24.56465379,Medium,5 or more,High school,None or 1
304,Bad,22.38095956,Medium,5 or more,College,More than 2
305,Bad,27.78487104,High,5 or more,High school,More than 2
306,Bad,26.61538437,Medium,5 or more,High school,More than 2
307,Bad,28.74882421,Low,5 or more,College,None or 1
308,Bad,20.42147883,Low,Less than 5,High school,None or 1
309,Bad,22.73432918,Medium,5 or more,College,More than 2
310,Bad,21.7309651,Low,5 or more,College,None or 1
311,Bad,25.63201938,Medium,5 or more,High school,More than 2
312,Bad,34.5564523,Medium,5 or more,College,More than 2
313,Bad,40.94343414,Medium,5 or more,High school,None or 1
314,Bad,35.10379963,Low,5 or more,High school,More than 2
315,Bad,27.00044078,Low,5 or more,College,More than 2
316,Bad,20.59557993,Medium,5 or more,High school,More than 2
317,Bad,44.55682181,Medium,5 or more,College,More than 2
318,Bad,33.80574687,Low,5 or more,High school,More than 2
319,Bad,30.94958802,Medium,5 or more,High school,More than 2
320,Bad,30.9041982,Low,5 or more,College,More than 2
321,Bad,35.0618973,Low,Less than 5,High school,None or 1
322,Bad,36.36430124,Medium,5 or more,High school,More than 2
323,Bad,27.88379807,Medium,5 or more,High school,More than 2
324,Bad,32.4451707,Medium,5 or more,College,More than 2
325,Bad,30.56926739,Low,5 or more,College,More than 2
326,Bad,31.63745711,Medium,5 or more,High school,More than 2
327,Bad,22.50088762,Low,5 or more,High school,More than 2
328,Bad,31.8168566,Low,5 or more,High school,More than 2
329,Bad,33.83493589,Low,5 or more,College,None or 1
330,Bad,22.13281198,Medium,5 or more,College,More than 2
331,Bad,26.8816101,Medium,5 or more,College,More than 2
332,Bad,36.35153862,Low,5 or more,High school,More than 2
333,Bad,27.8991855,Medium,Less than 5,High school,More than 2
334,Bad,26.68894407,Medium,5 or more,College,More than 2
335,Bad,34.11393884,Medium,5 or more,High school,More than 2
336,Bad,29.24320547,Low,5 or more,College,More than 2
337,Bad,33.94258041,Low,5 or more,College,More than 2
338,Bad,31.93486205,Low,5 or more,College,More than 2
339,Bad,25.36377093,Medium,5 or more,High school,More than 2
340,Bad,29.33459536,Low,5 or more,High school,More than 2
341,Bad,35.54201042,Medium,Less than 5,High school,More than 2
342,Bad,27.36480328,Medium,Less than 5,College,None or 1
343,Bad,34.43121265,Low,5 or more,College,More than 2
344,Bad,26.50768364,Medium,5 or more,College,More than 2
345,Bad,26.5260567,Medium,5 or more,College,More than 2
346,Bad,22.43895098,High,5 or more,College,None or 1
347,Bad,29.60880259,Medium,Less than 5,College,None or 1
348,Bad,21.97370836,Medium,5 or more,College,More than 2
349,Bad,22.83887272,Medium,5 or more,High school,More than 2
350,Bad,39.00897747,Medium,5 or more,College,More than 2
351,Bad,31.81572854,Medium,5 or more,High school,More than 2
352,Bad,30.64509154,Low,5 or more,High school,More than 2
353,Bad,34.37576112,Medium,5 or more,College,More than 2
354,Bad,29.66501658,Low,5 or more,High school,More than 2
355,Bad,25.65765042,Medium,5 or more,High school,More than 2
356,Bad,21.37852796,Low,5 or more,College,None or 1
357,Bad,45.73619977,Low,Less than 5,College,None or 1
358,Bad,37.54586924,Low,5 or more,High school,More than 2
359,Bad,31.04662668,Low,5 or more,High school,More than 2
360,Bad,30.1645217,Medium,5 or more,High school,More than 2
361,Bad,56.67512076,Low,5 or more,High school,More than 2
362,Bad,40.49608183,Medium,5 or more,High school,More than 2
363,Bad,51.62779049,Medium,Less than 5,College,None or 1
364,Bad,25.43763409,Low,5 or more,College,More than 2
365,Bad,32.92978544,Low,5 or more,College,More than 2
366,Bad,37.31334151,High,5 or more,College,More than 2
367,Bad,24.05325294,Low,5 or more,High school,More than 2
368,Bad,23.62617339,Medium,5 or more,High school,More than 2
369,Bad,27.18292251,Medium,5 or more,High school,More than 2
370,Bad,32.0370614,High,Less than 5,College,None or 1
371,Bad,22.90101797,Low,5 or more,High school,More than 2
372,Bad,25.01689854,Medium,5 or more,College,More than 2
373,Bad,31.92188924,Medium,5 or more,College,More than 2
374,Bad,33.07447013,Medium,5 or more,College,More than 2
375,Bad,33.09386619,Medium,Less than 5,College,None or 1
376,Bad,31.34896853,Low,5 or more,High school,None or 1
377,Bad,26.06956333,High,5 or more,High school,None or 1
378,Bad,29.92122315,Low,5 or more,High school,More than 2
379,Bad,30.14703825,Low,5 or more,College,More than 2
380,Bad,40.39305685,Medium,5 or more,College,More than 2
381,Bad,23.07229809,Medium,5 or more,High school,More than 2
382,Bad,26.24340994,Medium,Less than 5,College,None or 1
383,Bad,34.06062083,Medium,5 or more,High school,More than 2
384,Bad,28.37738459,Medium,5 or more,College,More than 2
385,Bad,24.02302922,Medium,5 or more,College,More than 2
386,Bad,29.87219893,Medium,Less than 5,High school,None or 1
387,Bad,37.78638881,Low,5 or more,College,More than 2
388,Bad,44.46847169,Medium,5 or more,High school,More than 2
389,Bad,25.37807487,Medium,5 or more,College,More than 2
390,Bad,32.60942202,Medium,5 or more,High school,More than 2
391,Bad,22.64579482,Medium,5 or more,High school,More than 2
392,Bad,21.91663911,Medium,5 or more,High school,More than 2
393,Bad,25.3409224,Medium,Less than 5,High school,None or 1
394,Bad,37.67813989,Medium,5 or more,College,More than 2
395,Bad,27.43025082,Low,5 or more,High school,More than 2
396,Bad,41.71445275,Low,5 or more,High school,More than 2
397,Bad,34.81502756,Low,5 or more,College,More than 2
398,Bad,32.42881905,Low,5 or more,High school,More than 2
399,Bad,33.91253564,Low,5 or more,High school,More than 2
400,Bad,23.24450664,Low,5 or more,High school,More than 2
401,Bad,32.91131744,Medium,5 or more,High school,More than 2
402,Bad,29.08302669,Medium,5 or more,College,More than 2
403,Bad,40.20516569,Medium,5 or more,High school,More than 2
404,Bad,25.31898196,Low,5 or more,High school,More than 2
405,Bad,44.68553087,Medium,5 or more,College,More than 2
406,Bad,26.29796887,Low,5 or more,College,More than 2
407,Bad,28.43801099,Low,5 or more,High school,More than 2
408,Bad,31.75249437,Medium,Less than 5,College,None or 1
409,Bad,36.56282342,Medium,Less than 5,College,None or 1
410,Bad,30.09285974,Low,5 or more,High school,More than 2
411,Bad,27.64434858,Low,5 or more,High school,More than 2
412,Bad,23.97681652,Low,5 or more,High school,More than 2
413,Bad,23.41043855,Low,5 or more,College,More than 2
414,Bad,23.79345158,Low,5 or more,High school,More than 2
415,Bad,21.55411383,Low,5 or more,High school,More than 2
416,Bad,35.29328293,Low,Less than 5,College,None or 1
417,Bad,22.46477019,High,5 or more,High school,None or 1
418,Bad,43.66188772,Low,5 or more,High school,More than 2
419,Bad,20.39508205,Low,Less than 5,College,More than 2
420,Bad,25.11171412,Medium,5 or more,College,More than 2
421,Bad,23.03102153,Low,5 or more,High school,More than 2
422,Bad,25.47395343,Medium,5 or more,College,None or 1
423,Bad,27.10392192,Medium,5 or more,High school,More than 2
424,Bad,30.31910101,Low,5 or more,College,More than 2
425,Bad,36.66206403,Medium,5 or more,College,More than 2
426,Bad,36.48052251,Low,5 or more,College,More than 2
427,Bad,31.19577124,Medium,5 or more,High school,More than 2
428,Bad,31.078256,Medium,5 or more,College,More than 2
429,Bad,26.40590328,Medium,5 or more,College,More than 2
430,Bad,31.9969991,Low,5 or more,College,More than 2
431,Bad,37.4496673,Medium,5 or more,High school,None or 1
432,Bad,35.82946107,Low,5 or more,College,More than 2
433,Bad,25.02743507,Medium,Less than 5,College,None or 1
434,Bad,21.00710958,Low,Less than 5,High school,None or 1
435,Bad,31.99088489,High,Less than 5,High school,More than 2
436,Bad,29.62156625,Low,5 or more,High school,More than 2
437,Bad,43.98155025,Medium,5 or more,High school,More than 2
438,Bad,21.82780242,Medium,5 or more,High school,More than 2
439,Bad,31.051457,Low,5 or more,College,None or 1
440,Bad,27.41808101,Low,5 or more,College,More than 2
441,Bad,29.99416536,Low,5 or more,College,None or 1
442,Bad,23.02374548,Medium,Less than 5,College,None or 1
443,Bad,25.73681548,High,5 or more,High school,None or 1
444,Bad,28.50019619,Low,5 or more,College,More than 2
445,Bad,20.54404698,Low,5 or more,College,More than 2
446,Bad,30.55840822,High,5 or more,High school,More than 2
447,Bad,38.39233587,Medium,Less than 5,College,None or 1
448,Bad,24.16115982,Low,5 or more,College,More than 2
449,Bad,26.94960307,Low,5 or more,College,More than 2
450,Bad,38.8851038,Low,5 or more,College,More than 2
451,Bad,30.95693985,Medium,5 or more,High school,More than 2
452,Bad,22.0145217,Medium,Less than 5,High school,None or 1
453,Bad,35.00697489,Medium,5 or more,High school,More than 2
454,Bad,39.28909945,Medium,5 or more,High school,More than 2
455,Bad,28.39589651,Low,5 or more,High school,More than 2
456,Bad,33.28939398,Medium,5 or more,High school,More than 2
457,Bad,41.31304233,Medium,5 or more,High school,More than 2
458,Bad,41.30882722,Medium,5 or more,High school,More than 2
459,Bad,40.85795576,Low,5 or more,High school,More than 2
460,Bad,32.94671256,Low,5 or more,High school,More than 2
461,Bad,34.87765946,Medium,5 or more,College,More than 2
462,Bad,23.7905303,Medium,5 or more,High school,More than 2
463,Bad,43.2912648,High,5 or more,College,More than 2
464,Bad,22.47346997,Low,Less than 5,High school,None or 1
465,Bad,27.45821086,Medium,5 or more,High school,More than 2
466,Bad,27.76615894,Low,5 or more,High school,More than 2
467,Bad,36.70020029,Low,5 or more,College,More than 2
468,Bad,28.41814581,Low,5 or more,College,More than 2
469,Bad,23.62635576,Low,5 or more,College,More than 2
470,Bad,23.33595471,Medium,5 or more,College,More than 2
471,Bad,38.06851845,Low,5 or more,High school,More than 2
472,Bad,27.23504681,Medium,5 or more,High school,More than 2
473,Bad,36.79547961,Low,5 or more,High school,More than 2
474,Bad,28.46198424,High,Less than 5,High school,None or 1
475,Bad,33.27520053,Low,5 or more,High school,More than 2
476,Bad,25.62279328,High,5 or more,College,More than 2
477,Bad,26.1097542,Medium,5 or more,High school,None or 1
478,Bad,27.80802023,Medium,Less than 5,College,None or 1
479,Bad,30.07330995,High,5 or more,High school,More than 2
480,Bad,33.94581112,Medium,Less than 5,High school,None or 1
481,Bad,26.98567612,Low,5 or more,College,More than 2
482,Bad,39.14714675,Low,5 or more,College,More than 2
483,Bad,26.92393073,Medium,5 or more,High school,More than 2
484,Bad,37.65557096,High,5 or more,College,More than 2
485,Bad,29.85612818,Medium,5 or more,High school,More than 2
486,Bad,30.32974851,Low,5 or more,College,More than 2
487,Bad,24.52515001,Medium,Less than 5,College,None or 1
488,Bad,20.95226489,Low,Less than 5,High school,More than 2
489,Bad,20.58610777,Medium,5 or more,High school,More than 2
490,Bad,37.60802426,High,5 or more,High school,More than 2
491,Bad,36.61450949,Low,5 or more,College,More than 2
492,Bad,24.19610611,Low,5 or more,High school,More than 2
493,Bad,22.91900617,Medium,5 or more,College,None or 1
494,Bad,29.49741001,Low,5 or more,High school,None or 1
495,Bad,23.65031284,Low,5 or more,High school,More than 2
496,Bad,38.96557356,Medium,5 or more,College,More than 2
497,Bad,21.52350981,Medium,Less than 5,High school,None or 1
